"doctor_timings_id","doctorid","start_time","end_time","available_day","status"
"17","35","09:30:00","13:00:00",,"Active"
"18","36","13:30:00","17:00:00",,"Active"
"19","37","14:00:00","18:00:00",,"Active"
"20","38","17:00:00","21:00:00",,"Active"
"21","39","13:00:00","19:00:00",,"Active"
"22","40","07:00:00","11:00:00",,"Active"
"23","41","13:30:00","16:30:00",,"Active"
"24","42","11:30:00","14:30:00",,"Active"
"25","43","12:30:00","16:30:00",,"Active"
"26","44","21:30:00","12:30:00",,"Active"
"27","36","01:03:00","13:03:00",,"Active"
"28","61","11:11:00","19:07:00",,"Active"
"29","35","11:11:00","16:44:00",,"Active"
"30","35","01:10:00","16:11:00",,"Active"
"31","35","01:02:00","15:04:00",,"Active"
"32","35","16:25:00","01:00:00",,"Active"
"33","1","18:00:00","00:02:00",,"Active"
"34","2","07:36:00","15:37:00",,"Active"
"35","7","09:24:00","16:24:00",,"Active"
